index,id,user_id,store_id,created_at,device,channel,platform
1000,7882,125,30,2021-09-26 01:17:41,desktop,direct,extension
1001,9658,182,26,2021-08-28 02:02:38,desktop,direct,app
1002,6240,379,34,2021-10-02 22:21:14,tablet,some_adv,extension
1003,2154,398,33,2021-10-11 20:23:30,mobile,email,web
1004,2643,167,87,2021-09-21 00:56:22,tablet,search,app
1005,1331,82,65,2021-11-19 16:41:38,desktop,email,extension
1006,1461,24,45,2021-11-12 21:20:02,mobile,some_adv,app
1007,8787,270,3,2021-10-24 06:36:40,mobile,search,web
1008,941,352,16,2021-09-02 10:42:21,desktop,some_adv,web
1009,8888,291,89,2021-10-03 13:35:19,tablet,direct,extension
1010,2378,90,14,2021-09-02 04:50:54,tablet,some_adv,web
1011,9473,142,12,2021-10-08 17:25:26,tablet,email,extension
1012,8149,110,56,2021-09-29 08:15:23,desktop,email,app
1013,2461,198,61,2021-09-21 01:32:47,tablet,some_adv,app
1014,8234,130,30,2021-09-12 20:33:48,desktop,email,app
1015,1096,253,56,2021-09-28 06:25:28,tablet,search,web
1016,6613,195,44,2021-09-29 15:05:36,mobile,direct,web
1017,887,355,82,2021-08-30 11:28:56,desktop,some_adv,app
1018,7030,413,45,2021-08-26 12:59:46,desktop,search,app
1019,7397,193,52,2021-11-02 18:49:12,mobile,direct,extension
1020,3175,73,67,2021-09-20 01:41:40,tablet,direct,extension
1021,8864,144,63,2021-09-15 05:42:21,tablet,some_adv,extension
1022,9152,271,16,2021-08-27 00:25:03,tablet,email,extension
1023,3992,138,29,2021-10-06 14:19:47,mobile,direct,app
1024,1755,0,28,2021-08-26 04:58:11,tablet,some_adv,extension
1025,9759,271,33,2021-09-16 08:52:02,desktop,email,app
1026,5980,193,26,2021-11-12 00:38:33,tablet,email,extension
1027,4528,348,31,2021-11-06 06:23:55,tablet,email,app
1028,2331,351,92,2021-09-11 09:40:49,desktop,email,web
1029,752,57,59,2021-09-26 08:46:42,mobile,email,web
1030,1500,8,39,2021-08-29 02:30:25,desktop,email,web
1031,6282,173,20,2021-09-08 19:20:02,desktop,some_adv,web
1032,9291,408,27,2021-09-07 05:50:11,mobile,email,extension
1033,1757,235,1,2021-10-18 03:31:45,desktop,email,web
1034,8283,442,31,2021-10-23 08:39:15,desktop,search,extension
1035,3288,254,89,2021-10-12 21:38:05,desktop,direct,web
1036,1475,343,12,2021-11-17 09:41:53,mobile,search,web
1037,8433,406,6,2021-08-25 05:25:18,tablet,some_adv,extension
1038,774,76,5,2021-10-28 21:28:03,desktop,email,extension
1039,5549,141,95,2021-09-15 20:24:07,tablet,direct,extension
1040,200,236,19,2021-08-27 05:28:51,mobile,email,app
1041,3790,96,36,2021-09-19 15:25:54,mobile,some_adv,web
1042,1063,206,20,2021-10-06 17:01:56,tablet,some_adv,extension
1043,4788,209,43,2021-11-17 20:15:21,tablet,email,extension
1044,4712,348,35,2021-08-29 16:32:14,mobile,some_adv,extension
1045,4390,2,89,2021-11-14 22:45:17,mobile,search,extension
1046,2731,10,43,2021-10-23 17:28:06,tablet,direct,web
1047,2915,202,73,2021-10-31 22:57:49,tablet,email,web
1048,7356,220,97,2021-11-07 18:58:35,desktop,direct,web
1049,879,416,0,2021-11-14 23:20:53,tablet,some_adv,extension
1050,3450,93,8,2021-10-09 08:29:42,desktop,some_adv,extension
1051,3586,99,71,2021-11-18 09:23:37,desktop,search,app
1052,1812,34,77,2021-10-05 05:36:36,tablet,direct,app
1053,218,349,59,2021-10-12 05:33:39,mobile,search,app
1054,2117,498,17,2021-11-17 08:02:49,mobile,email,app
1055,5789,272,8,2021-09-24 16:58:14,desktop,direct,extension
1056,3801,130,3,2021-11-06 22:28:03,desktop,search,extension
1057,3991,359,7,2021-11-01 05:35:39,desktop,direct,app
1058,2008,130,91,2021-09-02 01:43:19,desktop,direct,extension
1059,8752,123,46,2021-09-09 18:00:05,desktop,direct,web
1060,8590,330,47,2021-09-29 03:37:13,tablet,email,extension
1061,7993,209,10,2021-10-12 18:58:34,mobile,direct,extension
1062,3851,435,27,2021-10-31 09:31:11,mobile,some_adv,extension
1063,7963,319,30,2021-10-08 05:25:11,mobile,search,app
1064,1393,469,49,2021-10-30 07:58:08,tablet,search,web
1065,6706,264,10,2021-10-17 20:06:19,desktop,direct,app
1066,6493,444,18,2021-11-20 21:01:38,desktop,direct,extension
1067,2003,435,44,2021-09-09 11:28:09,desktop,direct,web
1068,5250,250,64,2021-09-09 04:03:54,tablet,email,extension
1069,6382,231,98,2021-11-07 01:38:18,desktop,search,extension
1070,9739,38,59,2021-10-21 21:29:18,tablet,search,web
1071,4388,465,72,2021-09-21 10:56:00,mobile,some_adv,extension
1072,9890,285,37,2021-10-31 14:05:42,desktop,direct,app
1073,8665,245,13,2021-11-09 20:42:13,tablet,search,web
1074,5412,140,22,2021-10-27 09:17:15,desktop,direct,web
1075,6408,270,53,2021-09-05 07:15:20,mobile,search,app
1076,5512,105,17,2021-11-02 02:14:21,desktop,email,extension
1077,7488,19,40,2021-11-07 13:22:57,desktop,some_adv,extension
1078,3949,219,93,2021-08-31 21:46:38,mobile,email,web
1079,6501,416,17,2021-10-30 08:25:16,tablet,search,web
1080,8545,246,3,2021-08-28 11:18:58,desktop,email,app
1081,6153,150,92,2021-09-26 04:10:44,tablet,some_adv,app
1082,1648,192,71,2021-10-21 07:04:38,tablet,search,app
1083,3884,426,65,2021-10-30 00:48:04,desktop,email,app
1084,1055,120,2,2021-09-15 16:07:07,desktop,search,extension
1085,6890,461,39,2021-10-26 08:07:59,desktop,search,web
1086,2857,157,94,2021-11-15 16:22:27,desktop,email,extension
1087,3470,158,66,2021-11-07 22:54:35,mobile,direct,extension
1088,2290,18,53,2021-11-10 17:39:48,tablet,some_adv,extension
1089,6764,222,98,2021-10-06 12:57:48,desktop,direct,extension
1090,91,328,55,2021-11-07 06:26:17,desktop,some_adv,web
1091,3497,403,64,2021-10-24 08:20:19,mobile,some_adv,app
1092,8585,240,50,2021-10-05 03:15:04,desktop,email,extension
1093,4571,5,11,2021-10-06 22:24:34,mobile,email,extension
1094,7101,99,55,2021-11-17 07:43:15,mobile,email,extension
1095,6863,371,89,2021-09-16 09:08:23,mobile,search,app
1096,8957,499,44,2021-10-23 01:38:42,desktop,email,web
1097,7474,336,15,2021-09-08 11:24:59,mobile,search,web
1098,6445,30,8,2021-10-12 23:33:31,tablet,direct,web
1099,7302,213,50,2021-11-10 02:02:44,desktop,email,app
1100,1062,56,46,2021-09-18 15:35:48,tablet,direct,extension
1101,6045,110,41,2021-10-17 17:06:28,desktop,search,web
1102,5702,333,43,2021-08-27 18:07:11,mobile,email,app
1103,1334,281,73,2021-10-17 18:04:36,desktop,search,extension
1104,7604,307,86,2021-10-05 09:06:53,tablet,direct,web
1105,8247,30,78,2021-10-27 14:59:59,mobile,direct,web
1106,6880,287,11,2021-08-27 06:36:30,tablet,some_adv,app
1107,180,125,0,2021-09-12 03:34:46,desktop,search,web
1108,2265,30,35,2021-11-13 03:41:12,desktop,direct,app
1109,6861,83,81,2021-10-15 04:02:20,mobile,email,extension
1110,9326,91,73,2021-10-21 10:03:38,desktop,direct,extension
1111,7197,316,84,2021-10-04 05:09:54,tablet,some_adv,app
1112,7125,127,33,2021-11-06 00:20:25,tablet,some_adv,extension
1113,4822,334,2,2021-09-28 08:37:04,tablet,email,web
1114,597,180,20,2021-10-16 20:03:47,mobile,search,extension
1115,2127,255,13,2021-10-29 12:14:50,desktop,search,app
1116,4261,338,85,2021-11-18 17:35:47,mobile,some_adv,extension
1117,6508,119,40,2021-11-01 11:27:41,tablet,some_adv,app
1118,504,132,28,2021-11-11 18:58:22,mobile,some_adv,app
1119,3991,248,19,2021-10-12 09:33:25,mobile,email,extension
1120,8104,326,68,2021-11-04 09:23:30,desktop,search,web
1121,1201,455,90,2021-11-17 03:18:01,tablet,search,web
1122,7398,442,96,2021-10-12 21:40:32,desktop,direct,extension
1123,89,286,30,2021-10-17 02:24:54,desktop,some_adv,web
1124,3558,426,45,2021-09-25 17:39:58,mobile,email,web
1125,695,248,54,2021-10-20 03:38:00,desktop,search,web
1126,9669,221,3,2021-11-07 23:56:25,tablet,email,web
1127,8148,270,57,2021-10-13 11:58:22,tablet,some_adv,extension
1128,6577,249,33,2021-09-04 11:58:50,mobile,email,extension
1129,4995,350,97,2021-09-26 10:47:08,tablet,some_adv,web
1130,9209,311,40,2021-11-13 12:33:02,tablet,direct,extension
1131,9882,247,29,2021-09-12 11:46:14,desktop,direct,app
1132,9452,258,47,2021-09-27 06:58:59,mobile,email,web
1133,2177,476,20,2021-10-23 06:59:23,desktop,some_adv,web
1134,2300,469,49,2021-11-14 15:08:40,mobile,email,web
1135,654,443,15,2021-10-11 01:46:40,tablet,direct,web
1136,1652,448,83,2021-10-14 17:35:48,mobile,direct,web
1137,1222,421,11,2021-09-16 17:56:12,mobile,search,web
1138,5836,496,17,2021-09-12 22:11:07,tablet,direct,extension
1139,7872,26,4,2021-08-28 08:59:03,desktop,direct,web
1140,9940,359,36,2021-08-28 10:09:05,mobile,direct,app
1141,2963,210,35,2021-11-06 19:30:43,tablet,email,extension
1142,3937,404,82,2021-09-17 09:56:37,mobile,direct,app
1143,8567,317,55,2021-09-08 05:25:39,tablet,search,web
1144,7068,122,42,2021-09-05 03:23:09,desktop,direct,app
1145,155,480,54,2021-11-04 21:20:09,desktop,email,web
1146,6539,263,92,2021-11-19 08:30:17,mobile,direct,app
1147,584,319,82,2021-10-06 08:30:16,desktop,search,extension
1148,3990,250,76,2021-09-16 07:53:12,mobile,some_adv,extension
1149,913,179,54,2021-10-03 03:43:05,tablet,email,extension
1150,9336,1,28,2021-09-07 17:32:01,tablet,some_adv,web
1151,4081,53,67,2021-09-15 16:29:11,desktop,direct,extension
1152,3228,107,1,2021-08-28 02:30:07,tablet,search,app
1153,5808,379,24,2021-09-03 19:09:45,tablet,some_adv,app
1154,2762,256,37,2021-09-06 23:25:21,desktop,email,app
1155,2446,150,8,2021-11-01 13:13:38,desktop,search,web
1156,9304,419,87,2021-10-09 14:36:32,desktop,email,app
1157,8828,474,24,2021-10-04 05:18:41,mobile,email,extension
1158,7628,175,5,2021-10-15 18:14:35,desktop,some_adv,extension
1159,2152,113,28,2021-08-27 14:46:19,mobile,some_adv,web
1160,2842,314,36,2021-09-07 12:27:59,desktop,some_adv,app
1161,2059,237,1,2021-10-06 01:19:12,mobile,direct,extension
1162,5575,174,8,2021-10-16 11:33:23,tablet,direct,app
1163,2651,364,89,2021-11-02 10:46:07,tablet,email,app
1164,3813,19,40,2021-11-16 15:37:56,desktop,direct,web
1165,2102,190,33,2021-09-10 10:12:33,mobile,direct,extension
1166,2015,236,26,2021-09-08 12:11:03,desktop,email,app
1167,7681,6,49,2021-10-30 08:46:06,mobile,direct,extension
1168,5390,315,47,2021-10-12 21:35:41,mobile,search,extension
1169,6236,198,47,2021-10-24 11:08:40,desktop,search,extension
1170,2297,476,62,2021-11-20 14:47:50,desktop,search,web
1171,4055,323,74,2021-10-28 02:35:16,tablet,direct,extension
1172,7697,438,48,2021-09-27 21:01:29,desktop,direct,extension
1173,4287,247,20,2021-09-19 07:29:17,tablet,email,web
1174,3791,81,83,2021-11-19 16:55:20,mobile,search,web
1175,1555,335,19,2021-10-20 01:06:02,tablet,search,web
1176,5542,217,75,2021-11-15 20:02:52,mobile,email,extension
1177,8667,286,25,2021-10-25 06:57:19,mobile,some_adv,extension
1178,4935,260,73,2021-10-18 19:58:32,mobile,direct,app
1179,1819,250,32,2021-08-31 03:41:00,mobile,direct,web
1180,1688,157,35,2021-10-11 16:38:11,mobile,search,app
1181,4110,240,26,2021-09-25 16:27:35,tablet,direct,extension
1182,3144,263,64,2021-09-29 13:41:12,mobile,email,web
1183,3084,388,9,2021-11-02 17:14:09,desktop,some_adv,extension
1184,5064,42,50,2021-09-16 15:51:14,tablet,email,extension
1185,4001,188,33,2021-10-11 17:54:17,mobile,some_adv,extension
1186,5577,490,7,2021-09-15 18:53:35,tablet,some_adv,app
