uids,merchant_click_seq
0,"['merch1', 'merch0', 'merch8', 'merch3', 'merch7', 'merch0', 'merch5', 'merch4', 'merch2', 'merch9', 'merch6', 'merch4', 'merch6', 'merch5', 'merch9', 'merch4', 'merch9', 'merch2', 'merch8', 'merch2', 'merch1']"
1,"['merch2', 'merch4', 'merch5', 'merch0', 'merch1', 'merch5', 'merch6', 'merch2', 'merch4', 'merch5', 'merch8', 'merch0', 'merch5']"
2,"['merch1', 'merch7', 'merch3', 'merch6', 'merch0', 'merch2', 'merch1', 'merch6', 'merch2', 'merch4', 'merch3', 'merch0', 'merch3', 'merch4']"
3,"['merch7', 'merch3', 'merch4', 'merch1', 'merch2', 'merch7', 'merch2', 'merch9', 'merch5', 'merch1', 'merch7', 'merch4', 'merch8']"
4,"['merch0', 'merch9', 'merch3', 'merch9', 'merch3', 'merch1', 'merch4', 'merch1', 'merch0', 'merch2', 'merch3', 'merch5', 'merch9', 'merch7', 'merch2', 'merch0', 'merch8', 'merch3']"
5,"['merch2', 'merch6', 'merch9', 'merch5', 'merch8', 'merch5', 'merch1', 'merch3']"
6,"['merch9', 'merch8', 'merch1', 'merch2', 'merch8', 'merch5', 'merch0', 'merch5', 'merch4', 'merch8', 'merch6', 'merch0', 'merch3', 'merch7', 'merch5', 'merch2', 'merch4', 'merch8']"
7,"['merch9', 'merch0', 'merch8', 'merch1', 'merch3', 'merch5', 'merch7', 'merch2', 'merch6', 'merch9', 'merch8', 'merch3']"
8,"['merch9', 'merch0', 'merch4', 'merch7', 'merch9', 'merch1', 'merch3', 'merch4', 'merch2', 'merch5', 'merch9']"
9,"['merch3', 'merch8', 'merch4', 'merch8', 'merch1', 'merch0', 'merch5', 'merch1', 'merch5', 'merch1', 'merch9', 'merch7', 'merch2', 'merch5', 'merch1', 'merch2', 'merch1', 'merch2', 'merch5']"
10,"['merch1', 'merch0', 'merch5', 'merch1', 'merch4', 'merch7', 'merch8', 'merch9', 'merch2', 'merch4']"
11,"['merch1', 'merch3', 'merch9', 'merch7', 'merch9', 'merch4', 'merch9', 'merch1', 'merch9', 'merch6', 'merch3', 'merch8', 'merch1']"
12,"['merch1', 'merch7', 'merch3', 'merch4', 'merch9', 'merch1', 'merch2', 'merch1', 'merch7', 'merch4', 'merch5', 'merch3', 'merch5']"
13,"['merch1', 'merch7', 'merch2', 'merch5', 'merch7', 'merch3', 'merch4', 'merch7', 'merch2', 'merch7', 'merch4', 'merch1', 'merch5', 'merch9', 'merch1']"
14,"['merch9', 'merch1', 'merch2', 'merch8', 'merch3', 'merch8', 'merch4', 'merch2', 'merch4', 'merch3', 'merch8', 'merch3', 'merch1', 'merch9']"
15,"['merch3', 'merch6', 'merch9', 'merch8', 'merch4', 'merch3', 'merch7', 'merch1', 'merch0', 'merch3', 'merch0', 'merch8', 'merch3', 'merch0', 'merch2', 'merch9', 'merch0', 'merch1', 'merch3', 'merch1', 'merch3', 'merch1']"
16,"['merch5', 'merch9', 'merch3', 'merch2', 'merch4', 'merch1', 'merch4', 'merch2', 'merch7', 'merch2', 'merch9', 'merch1', 'merch9', 'merch5', 'merch3', 'merch4', 'merch1', 'merch6']"
17,"['merch4', 'merch1', 'merch8', 'merch3', 'merch6', 'merch2', 'merch5', 'merch2', 'merch1', 'merch9', 'merch5', 'merch2', 'merch1', 'merch5', 'merch6', 'merch1', 'merch3', 'merch4', 'merch5', 'merch4']"
18,"['merch5', 'merch4', 'merch1', 'merch9', 'merch3', 'merch5', 'merch4', 'merch6', 'merch9', 'merch0', 'merch7', 'merch8', 'merch4', 'merch3', 'merch4']"
19,"['merch5', 'merch1', 'merch5', 'merch3', 'merch2', 'merch3', 'merch9', 'merch8', 'merch2', 'merch6', 'merch7', 'merch5', 'merch3', 'merch9', 'merch4', 'merch3', 'merch9', 'merch2', 'merch7', 'merch1', 'merch5', 'merch9', 'merch3', 'merch0']"
20,"['merch9', 'merch0', 'merch2', 'merch5', 'merch8', 'merch5', 'merch3', 'merch1', 'merch2', 'merch3', 'merch2', 'merch5']"
21,"['merch2', 'merch7', 'merch2', 'merch6', 'merch2', 'merch4', 'merch8', 'merch1', 'merch8', 'merch4', 'merch2', 'merch3', 'merch1', 'merch5', 'merch1', 'merch8']"
22,"['merch7', 'merch4', 'merch9', 'merch5', 'merch3', 'merch0', 'merch6', 'merch9', 'merch1', 'merch9', 'merch5', 'merch4', 'merch1', 'merch9', 'merch2']"
23,"['merch1', 'merch3', 'merch5', 'merch1', 'merch7', 'merch4', 'merch3', 'merch1', 'merch4', 'merch3', 'merch4', 'merch5', 'merch4']"
24,"['merch0', 'merch8', 'merch2', 'merch5', 'merch3', 'merch1', 'merch9', 'merch5', 'merch4', 'merch1', 'merch6', 'merch4', 'merch3', 'merch2', 'merch8', 'merch2']"
25,"['merch4', 'merch3', 'merch4', 'merch3', 'merch8', 'merch4', 'merch1', 'merch9', 'merch6', 'merch1', 'merch2', 'merch5', 'merch4', 'merch2']"
26,"['merch3', 'merch5', 'merch8', 'merch3', 'merch2', 'merch5', 'merch0', 'merch8', 'merch2', 'merch1', 'merch6', 'merch5', 'merch3', 'merch1', 'merch3', 'merch8', 'merch1']"
27,"['merch5', 'merch2', 'merch1', 'merch2', 'merch9', 'merch4', 'merch6', 'merch2', 'merch1', 'merch2', 'merch5']"
28,"['merch5', 'merch1', 'merch7', 'merch3', 'merch1', 'merch0', 'merch2', 'merch3', 'merch5', 'merch1', 'merch4', 'merch3', 'merch0', 'merch1', 'merch2', 'merch0', 'merch6', 'merch0', 'merch8', 'merch1', 'merch3']"
29,"['merch2', 'merch1', 'merch3', 'merch9', 'merch5', 'merch4', 'merch3', 'merch8', 'merch2', 'merch1', 'merch0', 'merch2', 'merch7', 'merch3', 'merch8', 'merch7', 'merch6']"
30,"['merch9', 'merch1', 'merch0', 'merch1', 'merch2', 'merch4', 'merch7', 'merch4', 'merch0', 'merch6', 'merch8', 'merch0', 'merch2', 'merch1', 'merch8', 'merch1']"
31,"['merch1', 'merch9', 'merch2', 'merch1', 'merch2', 'merch0', 'merch2', 'merch1', 'merch7', 'merch6', 'merch3', 'merch4', 'merch3', 'merch0', 'merch1']"
32,"['merch1', 'merch0', 'merch1', 'merch6', 'merch9', 'merch5', 'merch6', 'merch7', 'merch8', 'merch9', 'merch8', 'merch2']"
33,"['merch9', 'merch1', 'merch5', 'merch9', 'merch1', 'merch3', 'merch9', 'merch5', 'merch9', 'merch1', 'merch5', 'merch1', 'merch4', 'merch1', 'merch3', 'merch4', 'merch1', 'merch6', 'merch9', 'merch3', 'merch2']"
34,"['merch4', 'merch2', 'merch4', 'merch2', 'merch1', 'merch9', 'merch8', 'merch1', 'merch0', 'merch9', 'merch3', 'merch1', 'merch4', 'merch1', 'merch2', 'merch9', 'merch1']"
35,"['merch2', 'merch9', 'merch3', 'merch7', 'merch3', 'merch1', 'merch8', 'merch5', 'merch0', 'merch6', 'merch9', 'merch8', 'merch1', 'merch2', 'merch9', 'merch7', 'merch4', 'merch9', 'merch1', 'merch3', 'merch1', 'merch7', 'merch5']"
36,"['merch9', 'merch5', 'merch7', 'merch1', 'merch9', 'merch4', 'merch2', 'merch4', 'merch5', 'merch7', 'merch1', 'merch2', 'merch0', 'merch5', 'merch8']"
37,"['merch2', 'merch4', 'merch8', 'merch4', 'merch7', 'merch5', 'merch4', 'merch2', 'merch6', 'merch5', 'merch3', 'merch9', 'merch1', 'merch7', 'merch9']"
38,"['merch4', 'merch2', 'merch5', 'merch8', 'merch5', 'merch1', 'merch2', 'merch5', 'merch1', 'merch0', 'merch2']"
39,"['merch4', 'merch9', 'merch2', 'merch3', 'merch8', 'merch2', 'merch0', 'merch6', 'merch2', 'merch8']"
40,"['merch1', 'merch8', 'merch9', 'merch5', 'merch4', 'merch0', 'merch6', 'merch3', 'merch9', 'merch1', 'merch7', 'merch1']"
41,"['merch3', 'merch6', 'merch0', 'merch6', 'merch8', 'merch2', 'merch3', 'merch1', 'merch2', 'merch5', 'merch2', 'merch9']"
42,"['merch0', 'merch1', 'merch0', 'merch4', 'merch8', 'merch4', 'merch3', 'merch1', 'merch4', 'merch2', 'merch5', 'merch0', 'merch1', 'merch3', 'merch4', 'merch1', 'merch8', 'merch0', 'merch8', 'merch3', 'merch9', 'merch3']"
43,"['merch4', 'merch2', 'merch3', 'merch0', 'merch1', 'merch5', 'merch8', 'merch2', 'merch5', 'merch8', 'merch2']"
44,"['merch5', 'merch7', 'merch8', 'merch7', 'merch2', 'merch9', 'merch4', 'merch9', 'merch1', 'merch3', 'merch7', 'merch4', 'merch6', 'merch8', 'merch2', 'merch3', 'merch5']"
45,"['merch2', 'merch1', 'merch5', 'merch0', 'merch2', 'merch0', 'merch7', 'merch5', 'merch3', 'merch7', 'merch3', 'merch0', 'merch4', 'merch0', 'merch3', 'merch4', 'merch3', 'merch1']"
46,"['merch5', 'merch2', 'merch7', 'merch2', 'merch3', 'merch4', 'merch6', 'merch2', 'merch8', 'merch7', 'merch8', 'merch6']"
47,"['merch1', 'merch0', 'merch7', 'merch3', 'merch9', 'merch2', 'merch3', 'merch1']"
48,"['merch1', 'merch5', 'merch0', 'merch5', 'merch6', 'merch5', 'merch6', 'merch2', 'merch5', 'merch2', 'merch9', 'merch8']"
49,"['merch7', 'merch2', 'merch9', 'merch1', 'merch0', 'merch4', 'merch2', 'merch9', 'merch5', 'merch2', 'merch9', 'merch5', 'merch8', 'merch9']"
50,"['merch8', 'merch9', 'merch8', 'merch9', 'merch1', 'merch3', 'merch1', 'merch3', 'merch1', 'merch4', 'merch9', 'merch0', 'merch5', 'merch7', 'merch2', 'merch3', 'merch6', 'merch5', 'merch4', 'merch3', 'merch8', 'merch3', 'merch7', 'merch1']"
